target_ebops,gradual_file,gradual_measured_ebops,gradual_val_loss_eval,gradual_val_acc_eval,gradual_dead_ratio_kernel,gradual_low_bits_ratio_kernel,gradual_mean_bits_active,gradual_disconnected_output_ratio,gradual_mean_output_degree,gradual_weight_abs_mean,gradual_weight_abs_std,gradual_weight_near_zero_ratio,gradual_weight_kurtosis,gradual_spectral_sigma_min_min,gradual_spectral_sigma_max_mean,gradual_spectral_condition_median,gradual_spectral_stable_rank_mean,gradual_grad_global_norm,gradual_grad_near_zero_ratio,gradual_grad_first_last_ratio,gradual_grad_log_std,gradual_grad_batch_loss,gradual_one_step_loss_drop,oneshot_file,oneshot_measured_ebops,oneshot_val_loss_eval,oneshot_val_acc_eval,oneshot_dead_ratio_kernel,oneshot_low_bits_ratio_kernel,oneshot_mean_bits_active,oneshot_disconnected_output_ratio,oneshot_mean_output_degree,oneshot_weight_abs_mean,oneshot_weight_abs_std,oneshot_weight_near_zero_ratio,oneshot_weight_kurtosis,oneshot_spectral_sigma_min_min,oneshot_spectral_sigma_max_mean,oneshot_spectral_condition_median,oneshot_spectral_stable_rank_mean,oneshot_grad_global_norm,oneshot_grad_near_zero_ratio,oneshot_grad_first_last_ratio,oneshot_grad_log_std,oneshot_grad_batch_loss,oneshot_one_step_loss_drop,oneshot_opt_file,oneshot_opt_measured_ebops,oneshot_opt_val_loss_eval,oneshot_opt_val_acc_eval,oneshot_opt_dead_ratio_kernel,oneshot_opt_low_bits_ratio_kernel,oneshot_opt_mean_bits_active,oneshot_opt_disconnected_output_ratio,oneshot_opt_mean_output_degree,oneshot_opt_weight_abs_mean,oneshot_opt_weight_abs_std,oneshot_opt_weight_near_zero_ratio,oneshot_opt_weight_kurtosis,oneshot_opt_spectral_sigma_min_min,oneshot_opt_spectral_sigma_max_mean,oneshot_opt_spectral_condition_median,oneshot_opt_spectral_stable_rank_mean,oneshot_opt_grad_global_norm,oneshot_opt_grad_near_zero_ratio,oneshot_opt_grad_first_last_ratio,oneshot_opt_grad_log_std,oneshot_opt_grad_batch_loss,oneshot_opt_one_step_loss_drop,oneshot_opt_train200_init_acc,oneshot_opt_train200_final_acc,oneshot_opt_train200_best_acc,oneshot_opt_train200_acc_gain,oneshot_opt_train200_init_loss,oneshot_opt_train200_final_loss,oneshot_opt_train200_loss_drop,random_init_file,random_init_measured_ebops,random_init_val_loss_eval,random_init_val_acc_eval,random_init_dead_ratio_kernel,random_init_low_bits_ratio_kernel,random_init_mean_bits_active,random_init_disconnected_output_ratio,random_init_mean_output_degree,random_init_weight_abs_mean,random_init_weight_abs_std,random_init_weight_near_zero_ratio,random_init_weight_kurtosis,random_init_spectral_sigma_min_min,random_init_spectral_sigma_max_mean,random_init_spectral_condition_median,random_init_spectral_stable_rank_mean,random_init_grad_global_norm,random_init_grad_near_zero_ratio,random_init_grad_first_last_ratio,random_init_grad_log_std,random_init_grad_batch_loss,random_init_one_step_loss_drop,random_init_train200_init_acc,random_init_train200_final_acc,random_init_train200_best_acc,random_init_train200_acc_gain,random_init_train200_init_loss,random_init_train200_final_loss,random_init_train200_loss_drop,oneshot_train200_init_acc,oneshot_train200_final_acc,oneshot_train200_best_acc,oneshot_train200_acc_gain,oneshot_train200_init_loss,oneshot_train200_final_loss,oneshot_train200_loss_drop,gradual_train200_init_acc,gradual_train200_final_acc,gradual_train200_best_acc,gradual_train200_acc_gain,gradual_train200_init_loss,gradual_train200_final_loss,gradual_train200_loss_drop
121,epoch=196917-val_acc=0.575-ebops=121-val_loss=1.292.keras,106,1.3211017,0.49584961,0.99808952,0.99808952,1.5714286,0.93939394,0.296875,4.4228215,5.5175734,0,3.0605884,0,8.231413,4.8606154e+12,1.1587528,3.4506994,0.99324503,0,11.486925,1.6896597,0,epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-sensitivity-target121-ebops120.weights.h5,120,1.7022783,0.18725586,1,1,0,1,0,0,0,1,0,0,0,1e+12,0,7.0066222e+08,0.99602649,0,0,1.6909562,-2.0150184e+09,epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-spectral_quant-target121-ebops125.weights.h5,127,1.9880221,0.18725586,0.99795306,0.99795306,1,0.94545455,0.15078125,1.0370688,0.73840243,0,4.8869247,0,1.4552863,1.4189961e+12,1.0469847,0.80643661,0.99306843,0,10.60074,1.9708109,0,0.19433594,0.19433594,0.19433594,0,1.9810648,1.7289627,0.25210214,random-init-baseline-target121,122,1.6094379,0.20898438,0.99904476,0.99904476,1.8571429,0.96363636,0.08515625,0.10025259,0.076259322,0,4.1612215,0,0.11581229,9.5300009e+10,1.0802096,0.014641928,0.99977925,0,0,1.6094379,0,0.21337891,0.19970703,0.21337891,-0.013671875,1.6094379,1.6094611,-2.3126602e-05,0.19433594,0.19433594,0.19433594,0,1.7030717,1.6687205,0.03435123,0.56445312,0.43896484,0.53320312,-0.12548828,1.3062118,1.2632294,0.042982459
227,epoch=176830-val_acc=0.618-ebops=227-val_loss=1.076.keras,214,1.0912316,0.60668945,0.99576965,0.99576965,1.3225806,0.9030303,0.709375,3.8002498,5.2035818,0,4.9161854,0,13.628355,1.5579933e+13,1.2862725,0.20570806,0.98631347,0,10.841675,1.0704304,0,epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-sensitivity-target227-ebops230.weights.h5,230,1.6752264,0.18725586,1,1,0,1,0,0,0,1,0,0,0,1e+12,0,3.1313756e+08,0.99624724,0,0,1.6656598,-1.1693992e+09,epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-spectral_quant-target227-ebops225.weights.h5,225,1.818966,0.18725586,0.99645197,0.99645197,1,0.93939394,0.2859375,0.96792161,0.74084544,0,3.4636126,0,1.5749976,1.4189961e+12,1.2539781,0.53402983,0.99094923,0,10.279343,1.8131067,0,0.19433594,0.19433594,0.19433594,0,1.8092004,1.7341083,0.075092077,random-init-baseline-target227,230,1.6094379,0.20898438,0.99808952,0.99808952,1.7857143,0.91515152,0.1203125,0.17535399,0.12134267,0,2.46491,0,0.27355923,3.0730836e+11,1.6978747,0.014641935,0.99977925,0,0,1.6094379,0,0.21337891,0.21337891,0.21337891,0,1.6094379,1.6092919,0.00014603138,0.19433594,0.19433594,0.19433594,0,1.6765393,1.6613553,0.015184045,0.60253906,0.56689453,0.59472656,-0.035644531,1.0892614,1.0889146,0.00034677982
300,epoch=169270-val_acc=0.707-ebops=300-val_loss=0.920.keras,291,0.93106437,0.69946289,0.99549672,0.99549672,1.6060606,0.8969697,0.80546875,3.925724,5.1578083,0,4.8215227,0,14.12791,1.6080972e+13,1.4146483,0.32374231,0.98423841,0.45426557,0.40894409,0.96230674,0,epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-sensitivity-target300-ebops303.weights.h5,303,1.6643475,0.18725586,1,1,0,1,0,0,0,1,0,0,0,1e+12,0,2.8192996e+08,0.99646799,0,0,1.6554365,-5.8730329e+08,epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-spectral_quant-target300-ebops306.weights.h5,307,1.8404008,0.18725586,0.99508734,0.99508734,1,0.93333333,0.46328125,0.84133917,0.70710552,0,4.1432843,0,1.8253427,1.4271615e+12,1.3180887,0.60531596,0.99072848,0,10.280521,1.8344804,0,0.19433594,0.19433594,0.19433594,0,1.8304521,1.7308191,0.099632978,random-init-baseline-target300,302,1.6094379,0.20898438,0.99822598,0.99822598,2.1538462,0.92121212,0.11640625,0.16756135,0.097267523,0,1.813334,0,0.26005374,2.5972264e+11,1.6916301,0.014641901,0.99977925,0,0,1.6094379,0,0.21337891,0.19335938,0.21337891,-0.020019531,1.6094379,1.6098719,-0.00043392181,0.19433594,0.19433594,0.19433594,0,1.6654005,1.6569805,0.0084199905,0.69628906,0.68212891,0.69775391,-0.014160156,0.93846607,0.95713294,-0.018666863
399,epoch=159151-val_acc=0.720-ebops=399-val_loss=0.844.keras,422,0.85458744,0.71044922,0.99440502,0.99440502,1.6585366,0.87878788,0.75234375,4.1045895,5.0324931,0,4.7536654,0,15.279114,1.6490813e+13,1.4413637,0.35657582,0.97995585,0.6895063,0.38795744,0.88913482,0,epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-sensitivity-target399-ebops396.weights.h5,396,1.6669053,0.18725586,1,1,0,1,0,0,0,1,0,0,0,1e+12,0,1.4164622e+08,0.99558499,0,0,1.6578951,-6.0308057e+08,epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-spectral_quant-target399-ebops402.weights.h5,404,1.8130751,0.18725586,0.99426856,0.99426856,1.1190476,0.93333333,0.57890625,0.77219081,0.68297988,0,4.5848556,0,1.8749167,1.4249487e+12,1.3497111,0.157641,0.9995585,0,0,1.6888762,0,0.19433594,0.19433594,0.19433594,0,1.8020277,1.6716551,0.13037264,random-init-baseline-target399,397,1.6094379,0.20898438,0.99672489,0.99672489,1.9166667,0.86666667,0.22109375,0.1934181,0.13330738,0,3.4004157,0,0.35102342,3.0752139e+11,2.6330636,0.014641934,0.99977925,0,0,1.6094379,0,0.21337891,0.21337891,0.21337891,0,1.6094379,1.6094161,2.18153e-05,0.19433594,0.19433594,0.19433594,0,1.667737,1.6551596,0.012577415,0.70556641,0.703125,0.71240234,-0.0024414062,0.86548817,0.85163009,0.01385808
509,epoch=158015-val_acc=0.732-ebops=509-val_loss=0.801.keras,519,0.82081962,0.71923828,0.99372271,0.99372271,1.7608696,0.87272727,0.81796875,3.7383416,4.9078526,0,5.2577333,0,15.327974,1.6487617e+13,1.4925752,0.2080041,0.97951435,0.14595651,0.82356177,0.80462343,0,epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-sensitivity-target509-ebops499.weights.h5,499,1.6680529,0.18725586,1,1,0,1,0,0,0,1,0,0,0,1e+12,0,2.0870899e+08,0.99558499,0,0,1.6589288,-6.9180096e+08,epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-spectral_quant-target509-ebops513.weights.h5,515,1.9605424,0.18725586,0.99331332,0.99331332,1.2653061,0.92727273,0.7484375,0.72924846,0.66291332,0,4.9002643,0,2.0914359,1.354337e+12,1.5521739,0.14221057,0.9995585,0,0,1.6780339,0,0.19433594,0.19433594,0.19433594,0,1.9464738,1.6907636,0.25571024,random-init-baseline-target509,499,1.6094379,0.20898438,0.99549672,0.99549672,1.8787879,0.83030303,0.271875,0.15183403,0.1056889,0,2.583787,0,0.32146212,2.5833369e+11,2.5285708,0.014641928,0.99977925,0,0,1.6094379,0,0.21337891,0.19335938,0.21337891,-0.020019531,1.6094379,1.6097816,-0.00034368038,0.19433594,0.19433594,0.19433594,0,1.6690606,1.6555476,0.013512969,0.70800781,0.67089844,0.71875,-0.037109375,0.83093894,1.002152,-0.17121303
619,epoch=153525-val_acc=0.734-ebops=619-val_loss=0.804.keras,608,0.81996322,0.72363281,0.99358624,0.99358624,1.9361702,0.86666667,0.91015625,3.7201126,4.9978619,0,5.4411769,0,15.610969,1.6664703e+13,1.6217211,0.12721194,0.9797351,0.4985515,0.88753806,0.79579246,0,epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-sensitivity-target619-ebops619.weights.h5,619,1.6685312,0.18725586,1,1,0,1,0,0,0,1,0,0,0,1e+12,0,76350319,0.99558499,0,0,1.6593791,-6.3150617e+08,epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-spectral_quant-target619-ebops611.weights.h5,613,1.9740617,0.18725586,0.99290393,0.99290393,1.4230769,0.92727273,0.80625,0.71107143,0.65131122,0,5.0762229,0,2.1212575,1.3974052e+12,1.527141,0.22380267,0.98958057,0,10.264357,1.6913129,0,0.19433594,0.19433594,0.19921875,0,1.954317,1.6688261,0.28549087,random-init-baseline-target619,611,1.6106969,0.20898438,0.99344978,0.99344978,1.6875,0.75151515,0.4,0.17643231,0.14623906,0,3.4874299,0,0.52077811,5.0737527e+11,2.4700444,0.01464193,0.99977925,0,0,1.6094379,0,0.21337891,0.21337891,0.21337891,0,1.6104223,1.6099885,0.0004338026,0.19433594,0.19433594,0.19433594,0,1.6695319,1.6563482,0.013183713,0.71777344,0.70654297,0.71826172,-0.011230469,0.83518648,0.87551993,-0.04033345
702,epoch=148879-val_acc=0.736-ebops=702-val_loss=0.780.keras,711,0.7938301,0.72998047,0.99222162,0.99222162,1.8596491,0.83636364,1.0148438,3.9167387,4.6447845,0,5.15976,0,15.649162,1.6790912e+13,1.7178847,0.099077702,0.97169978,0.58781303,0.20162704,0.76546246,0,epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-sensitivity-target702-ebops694.weights.h5,694,1.6680125,0.18725586,1,1,0,1,0,0,0,1,0,0,0,1e+12,0,28374617,0.99514349,0,0,1.6588811,-1.2707438e+08,epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-spectral_quant-target702-ebops689.weights.h5,689,2.0008783,0.18725586,0.99249454,0.99249454,1.4909091,0.92727273,0.81796875,0.68402594,0.64455324,0,5.2714229,0,2.129196,1.3974052e+12,1.5246384,0.23266094,0.98940397,0,10.35919,1.7003558,0,0.19433594,0.19433594,0.19921875,0,1.9799738,1.6677511,0.31222272,random-init-baseline-target702,713,1.6094379,0.20898438,0.9941321,0.9941321,1.9767442,0.78181818,0.36875,0.20086971,0.17713864,0,4.0248904,0,0.50218624,4.3990129e+11,2.8353125,0.016502581,0.9995585,7.6124328e+09,9.8523591,1.6094379,0,0.21337891,0.19335938,0.21337891,-0.020019531,1.6094379,1.6097553,-0.00031733513,0.19433594,0.19433594,0.19433594,0,1.6689872,1.6564941,0.012493014,0.72412109,0.70898438,0.72314453,-0.015136719,0.79916209,0.82956874,-0.030406654
885,epoch=136046-val_acc=0.745-ebops=885-val_loss=0.742.keras,886,0.76667637,0.73730469,0.98949236,0.98949236,1.7662338,0.8,1.1242188,3.7011108,4.2325001,0,5.3328915,0,15.840243,1.5946691e+13,1.7787517,0.20309279,0.96083885,0.082763537,0.99192741,0.75518072,0,epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-sensitivity-target885-ebops815.weights.h5,815,1.6680427,0.18725586,0.99931769,0.99931769,1,0.97575758,0.01953125,1.7148622,1.2159448,0,2.893903,0,0.98148441,3.9259377e+12,0.35840508,2.3260343e+08,0.99492274,0,0,1.6589208,-5.6428141e+08,epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-spectral_quant-target885-ebops894.weights.h5,894,2.0305929,0.18725586,0.99222162,0.99222162,1.877193,0.92727273,0.82578125,0.67474407,0.63554525,0,5.3256717,0,2.1324722,1.3986849e+12,1.534024,0.22363121,0.98852097,0.50440604,0.56193703,1.6677847,0,0.19433594,0.19433594,0.19921875,0,2.0084524,1.6970953,0.31135714,random-init-baseline-target885,876,1.6094379,0.20898438,0.99331332,0.99331332,2.0204082,0.76363636,0.40390625,0.15622036,0.097489469,0,2.1331007,0,0.34934455,3.4288724e+11,3.2298676,0.014641921,0.99977925,0,0,1.6094379,0,0.21337891,0.21337891,0.21337891,0,1.6094379,1.6093423,9.560585e-05,0.19433594,0.19433594,0.19433594,0,1.6690197,1.6337756,0.035244107,0.73339844,0.70507812,0.73242188,-0.028320312,0.76938248,0.82770568,-0.058323205
1115,epoch=127294-val_acc=0.747-ebops=1115-val_loss=0.731.keras,1132,0.75405902,0.73486328,0.98703603,0.98703603,1.7789474,0.78181818,1.3523437,3.6021655,3.9937117,0,5.1935425,0,16.16081,1.5578672e+13,2.0671054,0.21314153,0.95456954,0,10.84519,0.73119819,0,epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-sensitivity-target1115-ebops870.weights.h5,870,1.6680427,0.18725586,0.99849891,0.99849891,1,0.94545455,0.04296875,1.8191905,1.0264684,0,3.2602186,0,1.0715946,4.2863784e+12,0.65304931,2.3260343e+08,0.99492274,0,0,1.6589208,-5.6428141e+08,epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-spectral_quant-target1115-ebops1096.weights.h5,1099,1.8192035,0.17822266,0.98362445,0.98362445,1,0.58181818,1.2578125,1.6791444,1.080031,0,2.5583994,0,5.1827472,5.9230039e+12,3.4980179,57.277909,0.94445916,16.63246,1.1261643,4.8314219,0,0.19482422,0.19482422,0.30761719,0,1.7735033,2.0455437,-0.27204037,random-init-baseline-target1115,1117,1.6171159,0.20898438,0.99058406,0.99058406,1.8985507,0.7030303,0.55546875,0.19550563,0.18546835,0,7.1373682,0,0.64427985,5.1940419e+11,2.9258326,0.014641921,0.99977925,0,0,1.6094379,0,0.21337891,0.19335938,0.21337891,-0.020019531,1.6153307,1.6099348,0.0053958893,0.19433594,0.19433594,0.19433594,0,1.6690197,1.6630511,0.0059685707,0.72998047,0.71875,0.73681641,-0.011230469,0.75633228,0.80543363,-0.049101353
2005,epoch=103017-val_acc=0.754-ebops=2005-val_loss=0.695.keras,2003,0.72813529,0.7421875,0.97789301,0.97789301,1.9074074,0.67272727,1.9921875,3.425226,3.9868166,0,7.673501,0,15.807816,1.5710415e+13,2.8962228,0.11249667,0.91580574,0.69282403,0.19106252,0.68626612,0,epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-sensitivity-target2005-ebops1990.weights.h5,1992,1.6678511,0.18725586,0.98225983,0.98225983,1,0.61212121,0.6875,1.5505826,0.98568159,0,2.7205276,0,3.6361276,4.8250074e+12,3.5968914,0.4382063,0.998234,0,0,1.6587257,0,epoch=2236-val_acc=0.770-ebops=23589-val_loss=0.641-oneshot-spectral_quant-target2005-ebops1967.weights.h5,1974,3.2377543,0.18920898,0.96834061,0.96834061,1,0.4,2.1164062,1.5009674,0.9932701,0,3.0041547,0,6.6303779,8.0908206e+12,3.2799635,51.517186,0.90379691,3.184556,0.48540511,12.72884,0,0.20947266,0.20117188,0.21191406,-0.0083007812,3.0003386,2.1882865,0.81205201,random-init-baseline-target2005,2029,2.3248997,0.18725586,0.98103166,0.98103166,1.8417266,0.52727273,1.1648437,0.1714963,0.14236236,0,3.7392635,0,0.71322611,7.0200387e+11,4.3526151,40.457427,0.99011038,0.19574242,0.70393438,2.1510248,0.0035037994,0.19433594,0.19433594,0.19433594,0,2.3702466,1.6557577,0.71448898,0.19433594,0.19580078,0.20458984,0.0014648438,1.6688395,1.6478602,0.020979285,0.74169922,0.71875,0.73779297,-0.022949219,0.72472906,0.77015471,-0.045425653
